"buchtitel","auflage","publikationsjahr"
"Osterinselchen",NULL,2010
"Ostern - Frühling - Glücksgefühle","1. Aufl.",2011
"Österreich. Karl",NULL,2008
"Osterspaziergang",NULL,2012
"Ostfriesische Petitessen","1. Auflage",2015
"Ostfriesischer Totentanz",NULL,2018
"Ostfriesland erzählt",NULL,2011
"Ost-Rand Geschichten","1. Auflage",2022
"Östringer Geschichten",NULL,2014
"O Struwwelpeter or stories alegre en piktures divertent",NULL,2009
"Ostthüringer Geschichtenbuch","Erste Auflage",2020
"Ostwestfalen-Lippe - OWL, witzig - mystisch - kriminell","1. Auflage",2019
"Ost-Westpassagen",NULL,2010
"Oszillograph",NULL,2012
"O Tannenbaum","1. Auflage",2015
"Ottakringer Sterbensläufte","1. Aufl.",2011
"Otto mit dem Pfeil im Kopf","1. Aufl.",2015
"Out of Balance","1. Print-Auflage",2023
"Out of Innergebirg","1. Aufl.",2010
"Outpost",NULL,2021
"Ova da savun",NULL,2012
"Overcoming prejudice","1. Auflage",2023
"Overdrive - Erotische Sex-Geschichten","1. Auflage",2021
"O wunderbare Gnaden-Blum","1. Aufl.",2009
"Paar-ti-Tour","1. Aufl.",2011
"Paarweise","1. Aufl.",2012
"Pack die Badehose ein ...",NULL,2015
"Packende Erzählungen","1. Auflage",2018
"Pack´s an und mach das Beste draus","1. Auflage",2016
"Packstation 143",NULL,2022
"Painliche Geschichten",NULL,2009
"Pake ahtao Apalai tō ehtopohpyry poko Rauschert nymerohpyry sero","1. Auflage",2019
"Palast der Leidenschaft",NULL,2023
"Palastwache","1. Aufl.",2010
"Pandemie",NULL,2020
"Panisches Idyll",NULL,2010
"Pannen, Pilze und ein Pool",NULL,2022
"Panoptikum","1. Aufl.",2014
"Papierfische",NULL,2017
"Papierschiffchen am Horizont","1. Auflage",2021
"Pappelstimmen",NULL,2019
"Parabeln","1. Auflage",2021
"Paradies 3000",NULL,2020
"Paradies auf Erden?","1. Auflage",2020
"Paradiese",NULL,2015
"Paradies Garten",NULL,2014
"Paradiesvogel","Erste Auflage",2023
"Paradiesvögel",NULL,2012
"Paradise Island - Nasse Geschichten",NULL,2022
"Paragramme","1. Aufl.",2011
"Paranoide Albträume","1. Auflage",2019
"Paranormale Phänomene","1. Aufl.",2014
"Pardon auf den Lippen",NULL,2013
"Paris, zwanzigster Juli",NULL,2012
"Park & Write","1. Auflage",2020
"Parole Volles Rohr Bonanza","1. Auflage",2021
"Partner fürs Leben","Dt. Erstausg.",2008
"Partnerinnen","1. Auflage",2016
"Partner, Paare, Paarungen",NULL,2012
"Partnerschaft ade","1. Aufl.",2008
"Partybus","1. Auflage",2022
"Parzelle Paradies","Erstausg., 1. Aufl.",2008
"Pascha, Perle und Perlchen",NULL,2008
"Passader Erzählungen","1. Auflage",2019
"Passagen ohne Netz",NULL,2013
"Passanten",NULL,2021
"Passion Theater",NULL,2008
"Pass mer fei auf!","1. Aufl.",2010
"Pass springt","Erstausg.",2009
"Passt, wackelt un hett Luft!",NULL,2017
"Patagonien",NULL,2009
"P-attacke","1. Aufl.",2010
"Paula - 28 Geschichten","1. Aufl.",2008
"Paulas kleines Geschichtenbuch","Orig.-Ausg., 1. Aufl., Erstdr.",2011
"Paulinchen's Kurzgeschichten","1. Auflage",2018
"Paul in den Bäumen",NULL,2011
"Paul-Otto Zwei Kreise, ein Strich","1. Auflage",2016
"Pause - Geschichten und Bilder",NULL,2020
"Pech klebt oder der ganz normale Wahnsinn ; lustige und groteske Geschichten über einen liebenswerten Chaoten","1. Aufl.",2013
"Pechvögel sind die einzige, nicht aussterbende Vogelart","1. Aufl.",2012
"Peer Wind und Regen","Erstveröffentlichung",2023
"Peinliche Gewinner",NULL,2009
"Peinliche Liebschaften",NULL,2009
"Peinlich, Heiß, SEX","1. Auflage",2022
"Peinlich, peinlich","1. Aufl.",2011
"Peitschen, Fesseln, SM und Analsex - Die besten Sex-Geschichten in der Literatur","1. Auflage",2014
"Pelle und ich sind unterwegs","1. Auflage",2018
"Pelze, Tee und vier Babuschkas",NULL,2010
"Pendulus und andere gruselige Geschichten","1. Aufl.",2010
"Penelopes Weg ... und andere kleine Geschichten aus Münster",NULL,2020
"Penthesiela Moabit",NULL,2023
"Perfektion - Wunsch nach Freiheit","1. Auflage",2022
"Perlenjagd und andere Geschichten","Erste Auflage",2020
"Perseiden",NULL,2022
"Persönliche Geschichten aus dem Jahr 2020",NULL,2021
"Persönlichkeit",NULL,2013
"Perspektiven",NULL,2021
"Perspektiven und andere Geschichten","1. Auflage",2016
"Perverse Nächte",NULL,2023
"Pesnja ne končaetsja","1. Auflage",2017
"Peter, Central Park 12 Uhr 10",NULL,2022
"Peterchens Kutschfahrt","1. Auflage",2019
"Peterchens Schlittenfahrt","1. Auflage",2017
"Peterchens Wüstenfahrt","1. Auflage",2018
"Petermännchen will König werden","1. Auflage",2019
"Petersburger Erzählungen","1. Auflage",2020
"Petra´s Gespür ... für den Arsch der Welt",NULL,2022
"Pfad der Jäger","1. Auflage",2020
"Pfadfinder der Nacht",NULL,2014
"Pfarrer Kohli platzt der Kragen",NULL,2020
"Pfarrer Ottos böse Geschichten","1. Aufl.",2012
"Pfarrer Roderich Krücke und seine Lipper",NULL,2014
"Pfefferspray für dein Gehirn","1. Auflage",2017
"Pfeifen",NULL,2015
"Pfeifen mit Pfiff",NULL,2009
"Pfeifenrauch und Rosenduft","1. Aufl.",2012
"Pferdeduft und Hufgetrappel","1. Auflage",2017
"Pferdefleisch und Plastikblumen","1. Aufl.",2013
"Pferdehandel","1. Auflage",2016
"Pferdemanie",NULL,2010
"Pfui Deibel!",NULL,2012
"Phantasie gegen Pandemie","1. Auflage",2020
"Phantasmagoriana","1. Auflage",2023
"Phantastisch",NULL,2009
"Phantastische Erzählungen","1. Aufl.",2011
"Phantastische Fantasien","Orig.-Ausg.",2011
"Phantastische Irritationen",NULL,2020
"Phantastisches Bonn","1. Auflage",2017
"Phantastisches Frühstück",NULL,2014
"Phantastisches Giessen","Originalausgabe",2023
"Phantastisches Schwaben",NULL,2019
"Philosophie des Autofahrens","1. Auflage",2022
"Philosophische Alltagsgedanken",NULL,2023
"Philosophische Erzählungen",NULL,2011
"Physikstunde","1. Auflage",2020
"Picknick am See",NULL,2016
"Picknick in Sodom",NULL,2011
"Piepenbrinks Hochzeit",NULL,2021
"Piepsi und Sammy",NULL,2015
"Pikant! Pikant!",NULL,2009
"Pik As",NULL,2008
"Pillnitzer Geschichten","Erste Auflage",2020
"Pilot in letzter Entscheidung",NULL,2012
"Pilum Literaricum 25/ 2020","1. Auflage",2020
"PILUM LITERARICUM 30/2022","1. Auflage",2022
"Pink - 10",NULL,2008
"Pink Tales – Storys von Flo-Flo-Florida","1. Aufl.",2014
"Pinsel-Streiche",NULL,2011
"Piratenbeute",NULL,2011
"Piratenherz","1. Aufl.",2010
"Piroschka ist tot",NULL,2023
"Piroschka und die Wolpertinger",NULL,2012
"Pistole mit sechzehn","1. Auflage",2016
"Pitts Poesie und Kurzgeschichten",NULL,2020
"Plan B wie Baby",NULL,2023
"Planet Luxemburg und andere komische Geschichten","Orig.-Ausg., 1. Aufl.",2012
"Planglück",NULL,2017
"Planta Nubo",NULL,2023
"Planvoll gescheitert","1. Auflage",2022
"Plattdeutsche Kurzgeschichten",NULL,2016
"Plattdütsch Land",NULL,2015
"PlattFormen",NULL,2015
"Platt gekallt",NULL,2011
"Platt is wat",NULL,2015
"PlattSnack","1. Auflage",2023
"Plätzchenduft und Tannengrün","1. Aufl.",2014
"Platz der Geschichten",NULL,2017
"Plaudereien aus der Wörterdose",NULL,2016
"Plön",NULL,2010
"Plötzlich","Auflage 1",2018
"Plötzlich Bescherung und andere (un)weihnachtliche Geschichten","Originalausgabe, 2. Auflage",2022
"Plötzlich fiel meine Nachbarin vom Stuhl",NULL,2008
"Plötzlich geküsst","1. Auflage",2020
"Plötzlich war er da","1. Auflage",2018
"PM - Personal Message","Erstauflage",2019
"Pocket-Stories to go","1. Auflage",2020
"Poesie und süße Lust",NULL,2021
"Poesie zum Verschenken","1. Aufl.",2011
"Poetry tREnD",NULL,2010
"Point Zero und andere Kurzgeschichten","Vollständige Taschenbuchausgabe",2016
"POLARLICHT","1. Auflage",2019
"POLARLICHT - GESAMMELTE ERZÄHLUNGEN","1. Auflage",2021
"Polarstation","1. Auflage",2022
"Poli Romantiko",NULL,2008
"Politiker haben kurze Beine",NULL,2011
"Politik? Lach einfach drüber",NULL,2018
"Politik mit Hundeklo","1. Aufl.",2011
"Polizei-Geschichten","1. Auflage",2017
"Polizist, Freund, Helfer und Mensch","1. Auflage",2017
"Polnisch lernen",NULL,2012
"Polstergespräche",NULL,2013
"Poor Millionaire & Miss Grinch","1. Auflage",2021
"Pornland",NULL,2022
"Porridge, pies and pistols",NULL,2013
"Porträts einer Frau","Erstausgabe",2020
"Poseidons Wette und andere Geschichten",NULL,2011
"Post aus Rom","1. Auflage",2020
"Post aus Samoa",NULL,2009
"Postcard Stories Katzen",NULL,2009
"Postmoderne Romanerzählungen",NULL,2021
"Post von Paul","1. Auflage",2021
"Potpourri der Gedanken",NULL,2011
"Potpourri des Lebens",NULL,2008
"Potsdamer Anekdoten",NULL,2008
"Pott meets poetry","1. Aufl.",2013
"Pott Pouree - verreimte Lieblingsrezepte",NULL,2015
"Pott und die Welt",NULL,2009
"Prägende Erlebnisse",NULL,2022
"Prager deutsche Erzählungen","1. vydání",2015
"Prager Geschichten",NULL,2015
"PragMagisch",NULL,2013
"Prägungen",NULL,2014
"Präpositionen","1. Auflage",2022
"PrärieLust","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Präsenz und Todestöne","Originalausgabe, 1. Auflage",2021
"Preistexte 08",NULL,2008
"Preistexte 09",NULL,2009
"preistexte21","1. Auflage",2021
"PREMIER MAI VIVE LA FRANCE! oder: die Hölle = BRD = Kapitalismus mit menschlichem Antlitz? 2.Auflage","1. Auflage",2018
"Prickelnde Stories aus einem Füllhorn von Ideen","1. Auflage",2023
"Priester des Todes",NULL,2011
"Primus","1. Auflage",2018
"Prinzessinnenüberschuss und andere Geschichten",NULL,2011
"Prinz Feuerkopf, Räuber Schneemilch und andere Geschichten",NULL,2012
"Privat","1. Auflage",2019
"Probeliegen",NULL,2011
"Professorenmensa","Erstausgabe",2020
"Professor N ... ist doof",NULL,2014
"PROFESSOR VAN DUSEN: DAS RÄTSEL VON ZELLE 13 UND WEITERE FÄLLE DER DENKMASCHINE","1. Auflage",2020
"Programm Pandora und andere Kurzgeschichten","1. Aufl.",2014
"Projekt Mensch","1. Aufl.",2008
"Promille und Endorphine","1. Auflage",2020
"Prominenz","1. Auflage",2019
"Prosa",NULL,2008
"Prosablüten","1. Aufl.",2011
"Prosaische Passionen","Originalausgabe",2022
"Prosaranken","1. Aufl.",2013
"Prost, Harry!","1. Auflage",2016
"Protective Men Trilogy","1. Auflage",2018
"Protokoll Delta Bravo",NULL,2023
"Prototypen und andere Unwägbarkeiten",NULL,2011
"Provenzalische Begegnungen","1. Aufl.",2014
"Provinzlexikon","Genehmigte Taschenbuchausg., 1. Aufl.",2011
"proWort",NULL,2019
"Proxima Virginis und andere Geschichten",NULL,2010
"psst ...","1. Auflage",2022
"Psychedelia","1. Aufl.",2012
"Psychoanalyse","1. Auflage",2023
"Psychologische Verteidigung","1. Aufl.",2013
"PSYCHOPOESIE Die Kapitänin und die Welle",NULL,2023
"Psychs of New Pretoria","1. Auflage",2023
"Pufisound","1. Auflage",2022
"Pulsschlag",NULL,2009
"Pulswärmer",NULL,2008
"Puppenmutti Friedelchen und weitere Geschichten",NULL,2015
"Pure Lebenslust",NULL,2013
"Pure Lust",NULL,2011
"Purpurne Lust","Orig.-Ausg.",2011
"Purzelbäume im Kopf","1. Auflage",2023
"Puste-Blume","1. Auflage",2022
"Pusteblume",NULL,2019
"Putins Pudel und andere fast wahre Geschichten aus Russland",NULL,2016
"Puulkartüffeln","1. Aufl.",2008
"Pyjamastories","1. Auflage",2022
"Qasem Schneider in Beirut","1. Auflage",2018
"Quadratmetergeschichten",NULL,2012
"Quälende Gedanken","1. Auflage",2017
"Qualverwandt",NULL,2011
"Quartessenz",NULL,2011
"Quattro stagioni","Orig.-Ausg., 1. Aufl.",2013
"Que concierne",NULL,2019
"Quedlinburger Anekdoten",NULL,2012
"Queeres entdecken",NULL,2022
"Queeres entdecken 2022",NULL,2022
"Queeres entdecken 2023",NULL,2023
"Quelle chance! et autres nouvelles",NULL,2017
"Quer",NULL,2013
"Quer Beet ...","Originalausgabe, 1. Auflage",2015
"Quer Beet aufs Treppchen","1. Auflage",2020
"Quer Beet aufs Treppchen/Quer Beet aufs Treppchen 2020/21","1. Auflage",2021
"Querbeet durch's Leben","1. Auflage",2023
"Querbunt",NULL,2020
"Quer durch die Welt wuseln - Afrika!","Originalausgabe",2017
"Quer durchs Quartier in die Welt hinein","1. Aufl.",2013
"Querschläger","1. Auflage",2018
"Quersumme 9 Erzählungen",NULL,2008
"Querwärts ... Stories","Erstaufl.",2013
"Quessess","1. Aufl.",2008
"Qui bono","Jugendfreie Version, 1. Auflage",2017
"QUICK &amp; DIRTY 2 - Geschichten mit X","1. Auflage",2018
"Quintessenz",NULL,2018
"Quintiliano","1. Auflage",2016
"Quintilliano","1. Auflage",2017
"quodlibet","1. Auflage",2018
"Rabbi Lach und seine Geschichten",NULL,2015
"Rabenschwarz","1. Auflage",2022
"Rabenschwarze Schicksale","Erstaufl.",2012
"Rabenschwarz und schwanenweiß",NULL,2009
"Raben-Stephan & Co.",NULL,2021
"Rabens Weihnacht – Der kleine Dschinn und andere Geschichten zum Fest","1. Auflage",2022
"Racconti sotto le stelle","Prima edizione bilingue italiano/tedesco",2021
"Rache der Vergangenheit","1. Auflage",2023
"Rache ist Senf","1. Aufl.",2008
"Rachel ist süß",NULL,2008
"Rache zeugt die schönsten Morde","1. Aufl.",2016
"Radfahren schön trinken",NULL,2014
"Radioaktive Tierrundschau",NULL,2009
"Radio Heimat","1. Aufl.",2009
"Rafael, Theo, Laurent","1. Auflage",2019
"Rainbow Nights - Sex in Hollywood","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2022
"Ramsch","1. Auflage",2019
"Ran an'n Sarg und mitjeweent","1. Aufl.",2010
"Randbegegnungen","Deutsche Erstausgabe",2016
"Randgeher",NULL,2019
"Randgruppenmitglied","1. Aufl.",2010
"Randnotizen","Orig.-Ausg.",2014
"Randvermerke",NULL,2017
"Randwelten","1. Auflage",2020
"Rania","1. Aufl.",2012
"Rantschilwis Weg","Erste Auflage",2020
"Ränzelhinrich","1. Aufl.",2012
"Rapunzelzeiten","Erste Auflage",2022
"Rasante Rhapsodien","1. Auflage",2023
"Rassismus, Gender & Lillemor","1. Auflage",2018
"Rätselhafte Orte","Erste Auflage",2022
"Rätselhafte Orte unter der Erde","Erste Auflage",2023
"Raubritter und Burgfräulein in Thüringen","1. Auflage",2023
"Räuchermanndl und Weihnachtsgansl",NULL,2014
"Rauch über dem Spellersiek","1. Aufl.",2011
"Raumanzüge & Räuberpistolen","Orig.-Ausg., 1. Aufl.",2010
"Raumforderung","1. Auflage",2016
"Raumpatrouille","1. Auflage",2016
"Raumtexte",NULL,2011
"Raunächte - das Koch-Lesebuch","1. Auflage",2016
"Rauschzeit",NULL,2010
"Reality Stories","1. Auflage",2022
"Re-Animator und weitere Erzählungen",NULL,2019
"Rebellen, Zicken und Millionäre",NULL,2013
"Rebellionen - moderne Sanskrit-Erzählungen über Tradition und Neuerung im Alltag indischer Paare",NULL,2020
"Rebellion in Sirius City","1. Auflage",2020
"Reclams Weihnachtsbuch",NULL,2019
"Reclams Winterbuch",NULL,2019
"Redefluss und Wortbrücken","1. Auflage",2023
"Reden ist Silber, Schreiben ist Gold",NULL,2021
"Reeperbahngeflüster","1. Aufl.",2012
"Rega Band 1",NULL,2020
"Regenbogenfragmente Hoffnung",NULL,2023
"Regenbogenhund","1. Auflage",2015
"Regenbogenläufer","1. Aufl.",2009
"Regenbogensteine",NULL,2008
"Regenbogen über Lateinamerika","1. Aufl.",2009
"Regenbogenzeit",NULL,2010
"Regensburg und überall","1. Auflage",2015
"Regen sich regen erregen",NULL,2020
"Regen zwei Schirme",NULL,2011
"Regionale Schlossgeschichten","Erste Auflage",2023
"Rehe am Meer","1. Aufl.",2008
"Reiche Mädchen",NULL,2012
"Reich ohne Schatten","Originalausgabe",2016
"Reichtum des Lebens","1. Auflage",2021
"Reife Frau",NULL,2023
"Reife MILF Fantasien","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2022
"Reif für Berlin","1. Auflage",2020
"Reif für die Insel","Orig.-Ausg., 1. Aufl.",2011
"Reif trifft jung","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2019
"Reif trifft jung - erfahren trifft neugierig","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2020
"Reif trifft jung - junges Fleisch","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2020
"Reif trifft jung - jung, naiv & willig","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2020
"Reim in ... Reim out","1. Aufl.",2010
"Rein akustisch",NULL,2017
"Reinders' Tod","1. Aufl.",2013
"Reine Frauensache!","1. Aufl.",2011
"Reine Fundsachen",NULL,2010
"Reinhardsbrunner Poesiealbum",NULL,2016
"Reiseabenteuer des Drachen","Erste Auflage",2016
"Reisebericht nach und Kurzgeschichten aus Kuwait","1. Auflage",2021
"Reisefertig",NULL,2020
"Reise: Genuss",NULL,2011
"Reiseglut",NULL,2013
"Reise-Impressionen","1. Auflage",2020
"Reise ins Land Verkehrtherum","Originalausgabe",2020
"Reiselust",NULL,2008
"Reiselust naschen",NULL,2013
"ReiseLust - Orte der Leidenschaft","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Reiselust und Gartenträume","1. Auflage",2017
"Reiselust und Lebenslust","1. Auflage",2022
"Reisen","Orig.-Ausg., 1. Aufl.",2015
"Reise nach Polstadt","1. Auflage zum 150. Geburtstag von Friedrich Wilhelm Mader am 1. September 2016",2016
"Reise nach Utrecht und andere Geschichten","1. Auflage",2023
"Reisen auf dem Weg des Lebens","1. Aufl.",2010
"Reisen durch die Zeit","1. Aufl.",2010
"Reisen Essen Schreiben",NULL,2019
"Reisen in ein anderes Leben",NULL,2011
"Reisen können",NULL,2013
"Reisen – und was es zu erzählen gibt","1. Aufl.",2011
"Reiseprostituierte",NULL,2023
"Reisetagebücher","Originalausgabe, 1. Auflage",2017
"Reisetagebücher zum Bahnreisen/Erlebnisreisen","1. Auflage",2014
"Reiseziel Utopia","1. Auflage",2018
"Reissalon","1. Auflage",2016
"Reißwolf Hirn",NULL,2012
"Reizvolle Episoden zwischen Afrika und Europa",NULL,2013
"Relativ Kleine, absolut wahre Geschichten","1. Aufl.",2008
"Religion und Liebe",NULL,2017
"Relikte aus dem Würfelbecher des Schicksals",NULL,2022
"Relikte bei Windwechsel",NULL,2016
"Rendezvous mit dem Fettnäpfchen","1. Auflage",2019
"Rendezvous mit dem Tod","1. Auflage",2020
"Rendezvous mit dem Tod und weitere unheimliche Kurzgeschichten","Originalausgabe, 1. Auflage,",2015
"Rendez-vous mit mir","1. Auflage",2016
"Rendezvous mit Regensburg","1. Auflage",2023
"Rendezvous von Geschichten & Gedichten","Zweite Auflage",2019
"Rentiere im Anflug",NULL,2021
"Rentner werden ist nicht schwer ...","1. Aufl.",2012
"Requiem auf eine Hand",NULL,2013
"Resonanzen",NULL,2008
"Ressentiment","1. Auflage",2023
"Restposten der Gefühle","1. Aufl.",2009
"Rest weg! - die übrigen Geschichten",NULL,2017
"Resümee, aber alt werde ich morgen",NULL,2021
"Rette mich wer kann!",NULL,2014
"Retter der Heimat",NULL,2011
"Retter der Wirklichkeit oder der Tag, an dem der Himmel grün war","1. Aufl.",2015
"Rettungen","Erste Auflage",2020
"Revierförster","1. Aufl.",2012
"Revolution in Bethlehem",NULL,2019
"Revolution und Filzläuse","Ungekürzte, vom Autor überarb. Ausg., 1. Aufl.",2009
"Revolverhelden auf Klassenfahrt","Dt. Erstveröff., 1. Aufl.",2014
"Rezepte und Geschichten rund ums Kochen",NULL,2022
"Rheinberg","1., Auflage",2012
"Rheinische Morde","Taschenbuchausg., dt. Erstausg.",2011
"Rheinisches Land und rheinische Leute",NULL,2012
"Rheinisches Rondeau","1. Aufl.",2012
"Rhododendrongrüne Olivengedanken","1. Aufl.",2008
"Rhonewind",NULL,2014
"Rhythmen, die die Welt bewegten","1. Aufl.",2010
"Rhythmische Leidenschaft","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2022
"Ricardos Weg ",NULL,2019
"Richtig liegen",NULL,2011
"Richtig Tanzen","Originalausgabe",2017
"Richtungswechsel","1. Auflage",2021
"Ricky",NULL,2014
"Ridiculous, neue Kurzgeschichten",NULL,2013
"Riding Free - Geschichten aus dem Bikerleben","Originalausgabe",2020
"Riesenfloh mit Zahnprothese",NULL,2011
"Rike und Manuel",NULL,2021
"Rinforzando",NULL,2008
"Rio Grande Charly Sammelband 5 Western Romane","1. Auflage",2021
"Risikoanalyse","1. Aufl.",2013
"Riskante Fahrt in die Sahara","1. Auflage",2020
"Risse","1. Aufl.",2012
"Risse im Beton","1. Aufl.",2009
"Risse im Schafspelz",NULL,2022
"Risse in der Fassade","1. Auflage",2023
"Rituale des Verschwindens","1. Auflage",2019
"Robbenjagd in Berlin",NULL,2009
"Robert und andere gereimte Geschichten, Satiren und Märchen",NULL,2013
"Robinson-Geschichten",NULL,2022
"Robofreund","1. Auflage",2022
"Roboterliebe","1. Aufl.",2013
"Rock Around The Tannenbaum","1. Auflage",2021
"Rocker Geschichten","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2019
"Rock'n'Roll Stories","1. Aufl.",2011
"Rockstar 5.0","1. Auflage",2020
"Rohrstocktagebuch",NULL,2009
"Rokoko-Geschichten",NULL,2010
"Roland schmunzelt","1. Aufl.",2008
"Rolduc","Erste Auflage",2017
"Rolf Torring",NULL,2015
"Rolf und Andra",NULL,2021
"Rolf und Frau Schubert","Deutsche Erstausgabe",2015
"Rolle hinterwärts",NULL,2010
"Rollen-Spiele","1. Aufl.",2013
"Rollentausch","Erste Auflage",2020
"Rolle rückwärts",NULL,2016
"Rolling Stoned","1. Auflage",2019
"Rollo und die Gespenster","1. Auflage",2021
"Romane & Erzählungen",NULL,2010
"Romane, Erzählungen, Journale","1. Aufl.",2009
"Romane, Erzählungen, Tagebücher","1. Aufl.",2008
"Romane und Erzählungen",NULL,2010
"Romans Erzählungen","1. Auflage",2022
"Romantische Auszeiten",NULL,2020
"Romantische Erzählungen",NULL,2009
"Romeo & Aileen","1. Auflage",2019
"Romeoblues","1. Auflage",2016
"Römische Geschichten","1. Auflage",2021
"Römisches Vorspiel",NULL,2008
"Rom - Oberhausen","1. Auflage",2018
"Ronooms Jagd und andere Science Fiction Geschichten",NULL,2012
"Rosa ist Rosa","1. Aufl.",2008
"Rosen brechen",NULL,2016
"Rose Noire",NULL,2009
"Rosensplitter",NULL,2012
"Rosi auf der Suche nach Geld und Glück",NULL,2017
"Rosige Aussichten",NULL,2020
"Rosmarin und Thymian",NULL,2016
"Rost","1. Auflage",2016
"Rostocker Gepinsel ... und andere Erzählungen","1. Auflage",2023
"R o t a t i o n","1. Auflage",2023
"Rote Ampel Vater Unser","1. Aufl.",2014
"Rote Ranunkeln","1. Auflage",2018
"Rot gegen Rot",NULL,2008
"Rothenburger Histörchen","1. Aufl.",2008
"Rot ist die Farbe der Sehnsucht",NULL,2011
"Rotjäckchen und der perverse Wolf","1. Auflage",2016
"Rotkehlchen umschwirren mich",NULL,2013
"Rotweinlaune auf Weißweinbasis","1. Aufl.",2013
"Rotwein oder Weißwein","1. Auflage",2021
"Rot wie Blut","1. Auflage",2019
"Rouven Hardlicht - Blau","Ausgabe 3",2016
"Royal Baby",NULL,2014
"Royal Daddies","1. Auflage",2018
"Royal Mile - Mein Schritt aus den Schatten","1. Auflage",2020
"Ruby lebt","Erstausg.",2011
"Rubys Welt","Dt. Erstausg.",2010
"Rückblende","1. Auflage",2020
"Rückenwind",NULL,2010
"Rückfall – eingeplant!",NULL,2017
"Rückkehr",NULL,2010
"Rückkehr ins Paradies",NULL,2016
"Rückkehr nach Schapdetten","1. Auflage",2019
"Rücksichten",NULL,2020
"Rückwärtslaufen","1. Aufl.",2011
"Rückweg mit leichtem Gepäck",NULL,2008
"Ruhepol","Orig.-Ausg.",2015
"Ruhestand",NULL,2023
"Ruhm","1. Aufl.",2009
"Ruhrpott Blagen","1. Auflage",2023
"Ruht ein Text in allen Dingen","1. Auflage",2021
"Ru lin wai shi",NULL,2015
"Runde Geschichten um eckige Pannen",NULL,2012
"Rund üm denn Kerktoorn","1. Auflage",2019
"Rund um die Ecken des Lebens","1. Auflage",2020
"Rund um die Krippe","1. Auflage",2020
"Rund um die Welt in mehr als 80 SF Geschichten","Erste Auflage",2016
"Rundumschlag","1. Aufl.",2013
"Rund wie die Erde","Orig.-Ausg., 1. Aufl.",2012
"Runnäzus","1. Aufl.",2008
"Runz, der Wahrheitssucher oder andere kurze Geschichten","1. Auflage",2016
"Ruprechts großer Rutentest","1. Auflage",2017
"Rusalka und ihre Kinder",NULL,2022
"Russentied in Tarnow","1. Auflage",2019
"Russen und Prußen","1. Aufl.",2009
"Russian reds",NULL,2011
"Russisch Brot",NULL,2009
"Russische Erzählungen (Bücher + 3 MP3 Audio-CDs) - Lesemethode von Ilya Frank","1. Auflage",2023
"Russische Erzählungen Geschenkset - 3 Bücher (mit Audio-Online) + Eleganz der Natur Schreibset Basics","1. Auflage",2023
"Russische Erzählungen Geschenkset - 3 Bücher (mit Audio-Online) + Eleganz der Natur Schreibset Premium","1. Auflage",2023
"Russische Erzählungen Geschenkset - 3 Bücher (mit Audio-Online) + Marmorträume Schreibset Basics","1. Auflage",2023
"Russische Erzählungen Geschenkset - 3 Bücher (mit Audio-Online) + Marmorträume Schreibset Premium","1. Auflage",2023
"Russische Erzählungen (mit kostenlosem Audio-Download-Link)","1. Auflage",2022
"Russische Geschichten/ Besuch aus Orkutsk","1. Auflage",2018
"Russische Geschichten/ Nach Gott gucken","1. Auflage",2017
"Russische Kurzgeschichten (Bücher + 9 Audio-CDs)","1. Auflage",2023
"Russische Kurzgeschichten (mit kostenlosem Audio-Download-Link)","1. Auflage",2022
"Saarland Buch/Das saarländische Weihnachtsbuch",NULL,2022
"Saarland Buch/'s Guddsje - Orginelles und Originale im Saarland - Saarland Buch",NULL,2023
"Saarland Krimiland","1. Aufl.",2014
"Saat des Grauens und andere Geschichten","Originalausgabe",2016
"Sacha gibts","1. Aufl.",2010
"Sachlicher Bericht über das Glück, ein Morphinist zu sein","1. Aufl.",2011
"Sächsischer Kaffee",NULL,2009
"Sackgasse",NULL,2009
"Sackratten-Blues",NULL,2011
"Sad face - happy face","Dt. Erstausg.",2008
"Sad roses",NULL,2009
"Saferions Auftrag: Tripolonium",NULL,2022
"Safranhimmel","1. Auflage",2022
"Safran, Sushi und Prosecco",NULL,2008
"Sag amoi, des gibt' s doch ned!",NULL,2010
"Sagas aus dem Alten Irland",NULL,2023
"Sag' einfach Danke und Geschichten, die das Herz berühren","1. Aufl.",2009
"Sagen & Geschichten aus Dettelbach",NULL,2011
"Sagengestalten der Oberpfalz",NULL,2023
"Sagenhaft böse","Erste Auflage",2019
"Sagenhafte Geschichten","1. Auflage",2021
"Sagenhafte Geschichten aus der Eifel: des Teufels Gold",NULL,2013
"Sagenhafte Lüneburger Heide","1. Auflage",2019
"Sagenhaftes Bergisches Land","1. Auflage",2023
"Sagenhaftes Burgen- und Heideland","1. Auflage",2017
"Sagenhaftes Oldenburger Land","1. Auflage",2017
